source_ref_id,source_file,source_sheet,source_row,source_column_or_cell_range,source_field,raw_value,raw_status,orderable_rpo,ref_rpo,source_detail_raw
staging_variant_matrix_rows.csv:Standard Equipment 1:36:443fff7f0e,staging_variant_matrix_rows.csv,Standard Equipment 1,36,stingray_3lt_c07,variant_matrix_row,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver",S,,TDM,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver"
staging_variant_matrix_rows.csv:Standard Equipment 1:36:738f256af7,staging_variant_matrix_rows.csv,Standard Equipment 1,36,stingray_3lt_c67,variant_matrix_row,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver",S,,TDM,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver"
staging_variant_matrix_rows.csv:Standard Equipment 1:36:d90d72235f,staging_variant_matrix_rows.csv,Standard Equipment 1,36,stingray_1lt_c07,variant_matrix_row,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver",S,,TDM,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver"
staging_variant_matrix_rows.csv:Standard Equipment 1:37:0b9f4ad659,staging_variant_matrix_rows.csv,Standard Equipment 1,37,stingray_2lt_c67,variant_matrix_row,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm",S,,,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm"
staging_variant_matrix_rows.csv:Standard Equipment 1:37:15348944d6,staging_variant_matrix_rows.csv,Standard Equipment 1,37,stingray_1lt_c67,variant_matrix_row,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm",S,,,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm"
staging_variant_matrix_rows.csv:Standard Equipment 1:37:2c4d281b34,staging_variant_matrix_rows.csv,Standard Equipment 1,37,stingray_3lt_c67,variant_matrix_row,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm",S,,,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm"
staging_variant_matrix_rows.csv:Standard Equipment 1:37:2c66245ef3,staging_variant_matrix_rows.csv,Standard Equipment 1,37,stingray_3lt_c07,variant_matrix_row,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm",S,,,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm"
staging_variant_matrix_rows.csv:Standard Equipment 1:37:951c4925f0,staging_variant_matrix_rows.csv,Standard Equipment 1,37,stingray_1lt_c07,variant_matrix_row,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm",S,,,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm"
staging_variant_matrix_rows.csv:Standard Equipment 1:37:ed45d9b9aa,staging_variant_matrix_rows.csv,Standard Equipment 1,37,stingray_2lt_c07,variant_matrix_row,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm",S,,,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm"
staging_variant_matrix_rows.csv:Standard Equipment 1:38:261f20c7d8,staging_variant_matrix_rows.csv,Standard Equipment 1,38,stingray_1lt_c07,variant_matrix_row,"Trunk release, push button open",--,,,"Trunk release, push button open"
staging_variant_matrix_rows.csv:Standard Equipment 1:38:400b1c0113,staging_variant_matrix_rows.csv,Standard Equipment 1,38,stingray_3lt_c67,variant_matrix_row,"Trunk release, push button open",S,,,"Trunk release, push button open"
staging_variant_matrix_rows.csv:Standard Equipment 1:38:c1b7bfde86,staging_variant_matrix_rows.csv,Standard Equipment 1,38,stingray_2lt_c67,variant_matrix_row,"Trunk release, push button open",S,,,"Trunk release, push button open"
staging_variant_matrix_rows.csv:Standard Equipment 1:38:d0cb63bf65,staging_variant_matrix_rows.csv,Standard Equipment 1,38,stingray_1lt_c67,variant_matrix_row,"Trunk release, push button open",S,,,"Trunk release, push button open"
staging_variant_matrix_rows.csv:Standard Equipment 1:38:d3e5b23521,staging_variant_matrix_rows.csv,Standard Equipment 1,38,stingray_3lt_c07,variant_matrix_row,"Trunk release, push button open",--,,,"Trunk release, push button open"
staging_variant_matrix_rows.csv:Standard Equipment 1:38:fdf797eb48,staging_variant_matrix_rows.csv,Standard Equipment 1,38,stingray_2lt_c07,variant_matrix_row,"Trunk release, push button open",--,,,"Trunk release, push button open"
staging_variant_matrix_rows.csv:Standard Equipment 1:39:1542b77351,staging_variant_matrix_rows.csv,Standard Equipment 1,39,stingray_2lt_c67,variant_matrix_row,"Vehicle health management, provides advanced warning of vehicle issues",S,,VHM,"Vehicle health management, provides advanced warning of vehicle issues"
staging_variant_matrix_rows.csv:Standard Equipment 1:39:261739f788,staging_variant_matrix_rows.csv,Standard Equipment 1,39,stingray_3lt_c67,variant_matrix_row,"Vehicle health management, provides advanced warning of vehicle issues",S,,VHM,"Vehicle health management, provides advanced warning of vehicle issues"
staging_variant_matrix_rows.csv:Standard Equipment 1:39:4e489d8ea8,staging_variant_matrix_rows.csv,Standard Equipment 1,39,stingray_2lt_c07,variant_matrix_row,"Vehicle health management, provides advanced warning of vehicle issues",S,,VHM,"Vehicle health management, provides advanced warning of vehicle issues"
staging_variant_matrix_rows.csv:Standard Equipment 1:39:a316ee8836,staging_variant_matrix_rows.csv,Standard Equipment 1,39,stingray_1lt_c07,variant_matrix_row,"Vehicle health management, provides advanced warning of vehicle issues",S,,VHM,"Vehicle health management, provides advanced warning of vehicle issues"
staging_variant_matrix_rows.csv:Standard Equipment 1:39:c11a117dd4,staging_variant_matrix_rows.csv,Standard Equipment 1,39,stingray_1lt_c67,variant_matrix_row,"Vehicle health management, provides advanced warning of vehicle issues",S,,VHM,"Vehicle health management, provides advanced warning of vehicle issues"
staging_variant_matrix_rows.csv:Standard Equipment 1:39:d93f040dc3,staging_variant_matrix_rows.csv,Standard Equipment 1,39,stingray_3lt_c07,variant_matrix_row,"Vehicle health management, provides advanced warning of vehicle issues",S,,VHM,"Vehicle health management, provides advanced warning of vehicle issues"
staging_variant_matrix_rows.csv:Standard Equipment 1:4:6ef2aad318,staging_variant_matrix_rows.csv,Standard Equipment 1,4,stingray_2lt_c67,variant_matrix_row,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",S1,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
