source_sheet,source_row,model_key,scope_type,exterior_color_rpo,exterior_color_name,interior_code,interior_label,seat_code,trim_level,raw_status,status_symbol,footnote_refs,canonical_status,source_detail_raw
Color and Trim 1,8,corvette,model_global,,,,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,HTP,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",HTP,H,TP,unknown,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,HU6,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",HU6,H,U6,unknown,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,HU76,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",HU76,H,U76,unknown,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,HTQ,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",HTQ,H,TQ,unknown,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,model_global,,,,Napa leather seating surfaces with perforated sueded microfiber inserts5,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,10,corvette,model_global,,,HTE,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",HTE,H,TE,unknown,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,model_global,,,HU1,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",HU1,H,U1,unknown,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,model_global,,,HU2,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",HU2,H,U2,unknown,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,model_global,,,HNK,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",HNK,H,NK,unknown,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,model_global,,,HUE,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",HUE,H,UE,unknown,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,model_global,,,HZN,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",HZN,H,ZN,unknown,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,model_global,,,H8T,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",H8T,H,8T,unknown,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
