source_ref_id,source_file,source_sheet,source_row,source_column_or_cell_range,source_field,raw_value,raw_status,orderable_rpo,ref_rpo,source_detail_raw
staging_variant_matrix_rows.csv:Exterior 1:17:13eba72d60,staging_variant_matrix_rows.csv,Exterior 1,17,stingray_1lt_c07,variant_matrix_row,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",--,E60,,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system"
staging_variant_matrix_rows.csv:Exterior 1:17:141e129bc9,staging_variant_matrix_rows.csv,Exterior 1,17,stingray_3lt_c07,variant_matrix_row,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",A,E60,,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system"
staging_variant_matrix_rows.csv:Exterior 1:17:1e2a123690,staging_variant_matrix_rows.csv,Exterior 1,17,stingray_2lt_c07,variant_matrix_row,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",A,E60,,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system"
staging_variant_matrix_rows.csv:Exterior 1:17:70af2b10b0,staging_variant_matrix_rows.csv,Exterior 1,17,stingray_1lt_c67,variant_matrix_row,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",--,E60,,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system"
staging_variant_matrix_rows.csv:Exterior 1:17:c5c21e3232,staging_variant_matrix_rows.csv,Exterior 1,17,stingray_2lt_c67,variant_matrix_row,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",A,E60,,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system"
staging_variant_matrix_rows.csv:Exterior 1:17:eeb31db2c5,staging_variant_matrix_rows.csv,Exterior 1,17,stingray_3lt_c67,variant_matrix_row,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",A,E60,,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system"
staging_variant_matrix_rows.csv:Exterior 1:22:0cd4dbdc93,staging_variant_matrix_rows.csv,Exterior 1,22,stingray_1lt_c07,variant_matrix_row,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate.",A1,VK3,,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate."
staging_variant_matrix_rows.csv:Exterior 1:22:1ade9e664c,staging_variant_matrix_rows.csv,Exterior 1,22,stingray_1lt_c67,variant_matrix_row,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate.",A1,VK3,,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate."
staging_variant_matrix_rows.csv:Exterior 1:22:26125802df,staging_variant_matrix_rows.csv,Exterior 1,22,stingray_2lt_c07,variant_matrix_row,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate.",A1,VK3,,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate."
staging_variant_matrix_rows.csv:Exterior 1:22:8fbf7c0b89,staging_variant_matrix_rows.csv,Exterior 1,22,stingray_3lt_c07,variant_matrix_row,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate.",A1,VK3,,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate."
staging_variant_matrix_rows.csv:Exterior 1:22:c129c4385f,staging_variant_matrix_rows.csv,Exterior 1,22,stingray_2lt_c67,variant_matrix_row,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate.",A1,VK3,,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate."
