source_sheet,source_row,source_cell_range,guide_family,model_key,model_key_confidence,scope_type,exterior_color_name_raw,exterior_color_name,exterior_color_rpo_raw,exterior_color_rpo,touch_up_paint_code,interior_rpo_raw,interior_rpo,interior_footnote_refs,interior_footnote_scope,raw_status,status_symbol,footnote_refs,canonical_status,confidence,source_detail_raw
Color and Trim 1,20,I20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Natural2
en-us",Natural,2,interior_color_header,A,A,,available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,J20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Natural Dipped4
en-us",Natural Dipped,4,interior_color_header,A,A,,available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,K20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Santorini Blue
en-us",Santorini Blue,,,--,--,,not_available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,L20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Habanero
en-us",Habanero,,,--,--,,not_available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,M20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Very Dark Atmosphere
en-us",Very Dark Atmosphere,,,A,A,,available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,N20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Ultimate Suede Jet Black
en-us",Ultimate Suede Jet Black,,,A,A,,available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,O20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Asymmetrical Adrenaline Red / Jet Black
en-us",Asymmetrical Adrenaline Red / Jet Black,,,--,--,,not_available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,P20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Asymmetrical Santorini Blue / Jet Black
en-us",Asymmetrical Santorini Blue / Jet Black,,,--,--,,not_available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,Q20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Santorini Blue Dipped with Torch Red accents
en-us",Santorini Blue Dipped with Torch Red accents,,,--,--,,not_available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,21,E21,corvette,,needs_review,model_global,NEW!  Pitch Gray Metallic,NEW!  Pitch Gray Metallic,GEC,GEC,WA-243F,"Jet Black
en-us",Jet Black,,,A,A,,available,high,"[""NEW!  Pitch Gray Metallic"","""",""GEC"",""WA-243F"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,21,F21,corvette,,needs_review,model_global,NEW!  Pitch Gray Metallic,NEW!  Pitch Gray Metallic,GEC,GEC,WA-243F,"Sky Cool Gray1
en-us",Sky Cool Gray,1,interior_color_header,A,A,,available,high,"[""NEW!  Pitch Gray Metallic"","""",""GEC"",""WA-243F"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,21,G21,corvette,,needs_review,model_global,NEW!  Pitch Gray Metallic,NEW!  Pitch Gray Metallic,GEC,GEC,WA-243F,"Adrenaline Red2
en-us",Adrenaline Red,2,interior_color_header,A,A,,available,high,"[""NEW!  Pitch Gray Metallic"","""",""GEC"",""WA-243F"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
